cycle_counter;cycle_time;umschaltvolumen;maximaler_spritzdruck;umschaltspritzdruck;einspritzzeit;massepolster;dosierzeit;zylinderheizzone_1;zylinderheizzone_2;zylinderheizzone_3;zylinderheizzone_4;zylinderheizzone_5;zylinderheizzone_6;zylinderheizzone_7;zylinderheizzone_8;werkzeugheizkreis_1;weight;mittlere Wandst.
20053;64.71399688720703;27.00292015075684;987.0809326171876;761.6505737304688;1.75600004196167;5.569575309753418;5.76200008392334;249.1000061035156;259.8999938964844;260.1000061035156;270.0;269.8999938964844;275.0;275.0;279.8999938964844;272.70001220703125;115.241;1,995800
20054;65.02999877929688;27.00292015075684;990.9647216796876;763.8457641601562;1.75600004196167;5.736186504364014;5.73799991607666;249.3999938964844;259.8999938964844;260.0;269.8999938964844;270.0;275.1000061035156;274.8999938964844;279.8999938964844;274.3999938964844;115.239;
20055;64.70800018310547;27.00292015075684;992.8222045898438;765.1122436523438;1.75600004196167;5.7718892097473145;5.734000205993652;250.0;260.0;260.0;270.0;269.8999938964844;274.8999938964844;275.0;279.8999938964844;274.29998779296875;115.226;
20056;83.447998046875;27.00292015075684;986.5743408203124;761.1439819335938;1.75600004196167;5.819492340087891;5.711999893188477;249.1000061035156;259.8999938964844;260.0;269.8999938964844;270.0;274.8999938964844;274.8999938964844;280.0;274.3999938964844;115.285;2,035800
20057;66.4739990234375;27.00292015075684;989.9515380859376;760.97509765625;1.75600004196167;5.652881145477295;5.748000144958496;249.1999969482422;259.6000061035156;259.8999938964844;269.8999938964844;270.0;274.8999938964844;274.8999938964844;279.8999938964844;274.70001220703125;115.301;2,028400
20058;64.77999877929688;27.00292015075684;988.76953125;762.6637573242188;1.75600004196167;5.759988307952881;5.728000164031982;249.1000061035156;259.79998779296875;259.70001220703125;269.8999938964844;270.0;275.1000061035156;275.0;280.0;274.0;115.294;1,984400
20059;64.77999877929688;26.99102020263672;989.8671264648438;763.2547607421875;1.75600004196167;5.72428560256958;5.711999893188477;249.3999938964844;259.6000061035156;259.8999938964844;269.8999938964844;270.0;274.8999938964844;275.0;280.0;274.70001220703125;115.274;1,992600
20060;65.23799896240234;27.00292015075684;992.146728515625;763.508056640625;1.75600004196167;5.748087406158447;5.730000019073486;249.0;259.8999938964844;259.70001220703125;269.8999938964844;270.0;275.0;274.8999938964844;279.8999938964844;273.79998779296875;115.286;2,018800
20061;65.05799865722656;27.00292015075684;990.9647216796876;764.0146484375;1.75600004196167;5.759988307952881;5.742000102996826;249.1999969482422;259.6000061035156;260.1000061035156;269.8999938964844;270.0;274.8999938964844;274.8999938964844;280.0;274.70001220703125;115.273;
20062;65.15799713134766;27.00292015075684;990.289306640625;763.00146484375;1.75600004196167;5.748087406158447;5.7220001220703125;249.3000030517578;259.79998779296875;260.0;269.8999938964844;270.0;275.1000061035156;274.8999938964844;280.0;274.6000061035156;115.318;
20063;68.46199798583984;27.00292015075684;988.0096435546876;761.0595703125;1.75600004196167;5.759988307952881;5.7179999351501465;249.3000030517578;259.70001220703125;259.70001220703125;270.0;270.0;274.8999938964844;275.1000061035156;280.0;274.8999938964844;115.316;1,996000
20064;66.49600219726562;26.99102020263672;986.1521606445312;760.1307983398438;1.75600004196167;5.712385177612305;5.74399995803833;249.5;259.6000061035156;259.8999938964844;269.8999938964844;270.0;275.0;274.8999938964844;279.8999938964844;273.20001220703125;115.32;2,012400
20065;64.76799774169922;27.00292015075684;988.8539428710938;759.4553833007812;1.75600004196167;5.7718892097473145;5.745999813079834;249.5;259.70001220703125;259.8999938964844;270.0;269.8999938964844;274.8999938964844;274.8999938964844;279.8999938964844;274.20001220703125;115.327;
20066;64.69200134277344;27.00292015075684;988.8539428710938;760.6373901367188;1.75600004196167;5.700484275817871;5.711999893188477;249.1999969482422;259.70001220703125;260.0;269.8999938964844;269.8999938964844;274.8999938964844;274.8999938964844;279.8999938964844;274.0;115.326;2,017000
20067;68.05599975585938;27.00292015075684;985.5611572265624;759.2864990234375;1.75600004196167;5.652881145477295;5.73199987411499;249.6000061035156;259.8999938964844;259.79998779296875;269.8999938964844;270.0;275.0;274.8999938964844;279.8999938964844;273.3999938964844;115.324;
20068;65.0719985961914;26.99102020263672;987.3341674804688;760.2152709960938;1.75600004196167;5.700484275817871;5.739999771118164;248.8999938964844;259.6000061035156;259.8999938964844;269.8999938964844;269.8999938964844;274.8999938964844;274.8999938964844;280.0;274.1000061035156;115.3;1,988000
20069;67.78600311279297;26.99102020263672;987.3341674804688;757.9356079101562;1.75600004196167;5.6647820472717285;5.708000183105469;249.6000061035156;259.79998779296875;259.8999938964844;269.8999938964844;270.0;275.0;274.8999938964844;280.0;274.79998779296875;115.341;1,996800
20070;64.38600158691406;27.00292015075684;986.7431640625;759.8775024414062;1.75600004196167;5.6885833740234375;5.742000102996826;249.3000030517578;259.79998779296875;260.0;269.8999938964844;270.0;274.8999938964844;274.8999938964844;280.0;274.0;115.302;
20071;64.73999786376953;27.00292015075684;988.3473510742188;761.481689453125;1.75600004196167;5.759988307952881;5.730000019073486;249.1999969482422;259.79998779296875;259.8999938964844;269.79998779296875;270.0;275.0;274.8999938964844;279.8999938964844;274.8999938964844;115.252;2,012800
